Timestamp data collected on 2025-07-04 15:19:18
0099009A,0259012C,0099009A,02590102
009A009B,025A3A8A,009A009B,025A3A5E
009B009C,025B722C,009B009C,025B7201
009C009D,025CAB94,009C009D,025CAB66
009D009E,025DE328,009D009E,025DE301
009E009F,025F1C8C,009E009F,025F1C60
009F00A0,0260542A,009F00A0,02605402
00A000A1,02618D8E,00A000A1,02618D62
00A100A2,0262C526,00A100A2,0262C501
00A200A3,0263FE8A,00A200A3,0263FE5D
00A300A3,02653620,00A300A4,026537C0
00A400A5,02666F80,00A400A5,02666F58
00A500A5,0267A726,00A500A6,0267A8C0
00A600A7,0268E08C,00A600A7,0268E060
00A700A7,026A1820,00A700A8,026A19C0
00A800A9,026B518A,00A800A9,026B515E
00A900AA,026C8924,00A900AA,026C8901
00AA00AB,026DC282,00AA00AB,026DC25A
00AB00AB,026EFA22,00AB00AC,026EFBC0
00AC00AD,0270338A,00AC00AD,0270335E
00AD00AD,02716B20,00AD00AE,02716CBF
00AE00AF,0272A48A,00AE00AF,0272A45E
00AF00AF,0273DC26,00AF00B0,0273DDC0
00B000B1,02751586,00B000B1,0275155A
00B100B1,02764D1B,00B100B2,02764EC0
00B200B3,02778683,00B200B3,02778658
00B300B3,0278BE1C,00B300B4,0278BFBF
00B400B5,0279F780,00B400B5,0279F758
00B500B5,027B2F20,00B500B6,027B30C0
00B600B7,027C6883,00B600B7,027C685A
00B700B7,027DA016,00B700B8,027DA1BA
00B800B9,027ED985,00B800B9,027ED95A
00B900B9,0280111A,00B900BA,028012C0
00BA00BB,02814A82,00BA00BB,02814A56
00BB00BB,02828220,00BB00BC,028283C0
00BC00BD,0283BB81,00BC00BD,0283BB56
00BD00BD,0284F320,00BD00BE,0284F4BF
00BE00BF,02862C80,00BE00BF,02862C58
00BF00BF,0287641A,00BF00C0,028765BB
00C000C1,02889D80,00C000C1,02889D56
00C100C1,0289D518,00C100C2,0289D6BE
00C200C3,028B0E82,00C200C3,028B0E58
00C300C3,028C4612,00C300C4,028C47B8
00C400C5,028D7F7E,00C400C5,028D7F54
00C500C5,028EB71A,00C500C6,028EB8BC
00C600C7,028FF07C,00C600C7,028FF050
00C700C7,0291281C,00C700C8,029129BE
00C800C9,0292617C,00C800C9,02926156
00C900C9,02939916,00C900CA,02939AB8
00CA00CB,0294D27C,00CA00CB,0294D252
00CB00CB,02960A18,00CB00CC,02960BB8
00CC00CD,0297437C,00CC00CD,0297434E
00CD00CD,02987B12,00CD00CE,02987CB5
00CE00CF,0299B47F,00CE00CF,0299B456
00CF00CF,029AEC12,00CF00D0,029AEDB6
00D000D1,029C2578,00D000D1,029C254E
00D100D1,029D5D0F,00D100D2,029D5EB5
00D200D3,029E9678,00D200D3,029E964C
00D300D3,029FCE0E,00D300D4,029FCFB2
00D400D5,02A1077E,00D400D5,02A10755
00D500D5,02A23F10,00D500D6,02A240B6
00D600D7,02A3787E,00D600D7,02A37851
00D700D7,02A4B014,00D700D8,02A4B1B8
00D800D9,02A5E97A,00D800D9,02A5E94E
00D900D9,02A7210E,00D900DA,02A722B6
00DA00DB,02A85A7C,00DA00DB,02A85A4E
00DB00DB,02A99212,00DB00DC,02A993B6
00DC00DD,02AACB78,00DC00DD,02AACB4A
00DD00DD,02AC030C,00DD00DE,02AC04B2
00DE00DF,02AD3C74,00DE00DF,02AD3C46
00DF00DF,02AE740C,00DF00E0,02AE75B2
00E000E1,02AFAD7A,00E000E1,02AFAD4C
00E100E1,02B0E510,00E100E2,02B0E6B4
00E200E3,02B21E70,00E200E3,02B21E48
00E300E3,02B35610,00E300E4,02B357B6
00E400E5,02B48F72,00E400E5,02B48F4B
00E500E5,02B5C70A,00E500E6,02B5C8B0
00E600E7,02B70072,00E600E7,02B70048
00E700E7,02B8380C,00E700E8,02B839B2
00E800E9,02B9716E,00E800E9,02B97146
00E900E9,02BAA90A,00E900EA,02BAAAAE
00EA00EB,02BBE276,00EA00EB,02BBE24A
00EB00EB,02BD1A08,00EB00EC,02BD1BAE
00EC00ED,02BE5370,00EC00ED,02BE5346
00ED00ED,02BF8B0D,00ED00EE,02BF8CB4
00EE00EF,02C0C46E,00EE00EF,02C0C444
00EF00EF,02C1FC0A,00EF00F0,02C1FDAC
00F000F1,02C33576,00F000F1,02C33548
00F100F1,02C46D08,00F100F2,02C46EAA
00F200F3,02C5A66C,00F200F3,02C5A644
00F300F3,02C6DE0C,00F300F4,02C6DFAE
00F400F5,02C8176C,00F400F5,02C81740
00F500F5,02C94F05,00F500F6,02C950A6
00F600F7,02CA886C,00F600F7,02CA8843
00F700F7,02CBC008,00F700F8,02CBC1AA
00F800F9,02CCF96A,00F800F9,02CCF942
00F900F9,02CE3103,00F900FA,02CE32A8
00FA00FB,02CF6A6C,00FA00FB,02CF6A42
00FB00FB,02D0A203,00FB00FC,02D0A3A6
00FC00FD,02D1DB6A,00FC00FD,02D1DB3F
00FD00FD,02D3130A,00FD00FE,02D314AE
00FE00FF,02D44C68,00FE00FF,02D44C3E
00FF00FF,02D58408,00FF0100,02D585AC
01000101,02D6BD6C,01000101,02D6BD42
01010101,02D7F501,01010102,02D7F69E
01020103,02D92E64,01020103,02D92E39
01030103,02DA6603,01030104,02DA67A6
01040105,02DB9F6C,01040105,02DB9F40
01050105,02DCD702,01050106,02DCD8A6
01060107,02DE106C,01060107,02DE1042
01070107,02DF4801,01070108,02DF49A4
01080109,02E08166,01080109,02E0813A
01090109,02E1B903,0109010A,02E1BAA8
010A010B,02E2F267,010A010B,02E2F239
010B010B,02E42A03,010B010C,02E42BA6
010C010D,02E5636C,010C010D,02E56340
010D010D,02E69B02,010D010E,02E69CA6
010E010F,02E7D45C,010E010F,02E7D434
010F010F,02E90C02,010F0110,02E90DA8
01100111,02EA4566,01100111,02EA453C
01110111,02EB7D01,01110112,02EB7E9D
01120113,02ECB666,01120113,02ECB63A
01130113,02EDEE02,01130114,02EDEFA2
01140115,02EF2762,01140115,02EF2739
01150116,02F060C0,01150116,02F0609E
01160117,02F19866,01160117,02F1983A
01170118,02F2D1C0,01170118,02F2D19C
01180119,02F40966,01180119,02F40939
01190119,02F54102,0119011A,02F542A7
011A011B,02F67A60,011A011B,02F67A36
011B011C,02F7B3C0,011B011C,02F7B39C
011C011D,02F8EB60,011C011D,02F8EB36
011D011E,02FA24C0,011D011E,02FA249E
011E011F,02FB5C5C,011E011F,02FB5C2E
011F011F,02FC9401,011F0120,02FC95A2
01200121,02FDCD60,01200121,02FDCD34
01210122,02FF06C0,01210122,02FF069C
01220123,03003E5E,01220123,03003E34
01230124,030177C0,01230124,0301779A
01240125,0302AF5C,01240125,0302AF34
01250126,0303E8C0,01250126,0303E89C
01260127,0305205E,01260127,03052034
01270128,030659BB,01270128,03065995
01280129,03079160,01280129,03079134
0129012A,0308CAC0,0129012A,0308CA9A
012A012B,030A025E,012A012B,030A022E
012B012C,030B3BC0,012B012C,030B3B9D
012C012D,030C735E,012C012D,030C7332
012D012E,030DACC0,012D012E,030DAC9A
012E012F,030EE459,012E012F,030EE42C
012F0130,03101DC0,012F0130,03101D9C
01300131,03115556,01300131,0311552C
01310132,03128EC0,01310132,03128E98
01320133,0313C65A,01320133,0313C631
01330134,0314FFBE,01330134,0314FF96
01340135,0316374A,01340135,03163722
01350136,031770C0,01350136,03177097
01360137,0318A856,01360137,0318A82C
01370138,0319E1BE,01370138,0319E196
01380139,031B195D,01380139,031B192C
0139013A,031C52BA,0139013A,031C5292
013A013B,031D8A56,013A013B,031D8A28
013B013C,031EC3BE,013B013C,031EC396
013C013D,031FFB5A,013C013D,031FFB2C
013D013E,032134C0,013D013E,03213499
013E013F,03226C52,013E013F,03226C2A
013F0140,0323A5BE,013F0140,0323A596
01400141,0324DD4F,01400141,0324DD26
01410142,032616B4,01410142,0326168E
01420143,03274E52,01420143,03274E2A
01430144,032887B4,01430144,0328878C
01440145,0329BF52,01440145,0329BF28
01450146,032AF8BD,01450146,032AF892
01460147,032C3056,01460147,032C302B
01470148,032D69BC,01470148,032D6992
01480149,032EA156,01480149,032EA12A
0149014A,032FDAB4,0149014A,032FDA8E
014A014B,03311254,014A014B,0331122A
014B014C,03324BB6,014B014C,03324B90
014C014D,0333834F,014C014D,03338322
014D014E,0334BCB4,014D014E,0334BC8C
014E014F,0335F454,014E014F,0335F429
014F0150,03372DB0,014F0150,03372D89
01500151,0338654C,01500151,03386520
01510152,03399EB4,01510152,03399E8C
01520153,033AD650,01520153,033AD621
01530154,033C0FB4,01530154,033C0F8A
01540155,033D4754,01540155,033D4726
01550156,033E80B4,01550156,033E808E
01560157,033FB84A,01560157,033FB820
01570158,0340F1B4,01570158,0340F18E
01580159,03422949,01580159,0342291E
0159015A,034362B2,0159015A,0343628C
015A015B,03449A50,015A015B,03449A22
015B015C,0345D3B4,015B015C,0345D38C
015C015D,03470B4A,015C015D,03470B1E
015D015E,034844B4,015D015E,0348448C
015E015F,03497C4C,015E015F,03497C20
015F0160,034AB5B2,015F0160,034AB588
01600161,034BED49,01600161,034BED1E
01610162,034D26B4,01610162,034D268C
01620163,034E5E4B,01620163,034E5E1E
01630164,034F97B3,01630164,034F9788
01640165,0350CF49,01640165,0350CF1E
01650166,035208B3,01650166,03520887
01660167,0353404B,01660167,03534020
01670168,035479B4,01670168,0354798C
01680169,0355B149,01680169,0355B11E
0169016A,0356EAA9,0169016A,0356EA82
016A016B,0358224A,016A016B,0358221E
016B016C,03595BA8,016B016C,03595B80
016C016D,035A9346,016C016D,035A9314
016D016E,035BCCB0,016D016E,035BCC87
016E016F,035D0448,016E016F,035D0419
016F0170,035E3DAC,016F0170,035E3D82
01700171,035F7546,01700171,035F7519
01710172,0360AEA4,01710172,0360AE7C
01720173,0361E63E,01720173,0361E614
01730174,03631FAE,01730174,03631F82
01740175,0364573C,01740175,03645712
01750176,036590AC,01750176,0365907E
01760177,0366C846,01760177,0366C819
01770178,036801AE,01770178,03680183
01780179,03693940,01780179,03693914
0179017A,036A72A6,0179017A,036A727C
017A017B,036BAA46,017A017B,036BAA15
017B017C,036CE3A0,017B017C,036CE376
017C017D,036E1B43,017C017D,036E1B14
017D017E,036F54A6,017D017E,036F547E
017E017F,03708C43,017E017F,03708C14
017F0180,0371C5A4,017F0180,0371C57D
01800181,0372FD44,01800181,0372FD14
01810182,0374369F,01810182,03743674
01820183,03756E3C,01820183,03756E12
01830184,0376A7A2,01830184,0376A77C
01840185,0377DF3E,01840185,0377DF0E
01850186,037918A2,01850186,03791879
01860187,037A5040,01860187,037A5014
01870188,037B89AA,01870188,037B897E
01880189,037CC138,01880189,037CC10C
0189018A,037DFAA0,0189018A,037DFA78
018A018B,037F323C,018A018B,037F3210
018B018C,03806BA2,018B018C,03806B7A
018C018D,0381A343,018C018D,0381A314
018D018E,0382DCA6,018D018E,0382DC7B
018E018F,0384143A,018E018F,0384140D
018F0190,03854DA2,018F0190,03854D78
01900191,0386853B,01900191,03868512
01910192,0387BEA0,01910192,0387BE74
01920193,0388F633,01920193,0388F606
01930194,038A2FA2,01930194,038A2F76
01940195,038B6735,01940195,038B6708
01950196,038CA0A2,01950196,038CA078
01960197,038DD838,01960197,038DD80E
01970198,038F119E,01970198,038F1172
01980199,03904939,01980199,0390490E
0199019A,039182A1,0199019A,03918276
019A019B,0392BA34,019A019B,0392BA08
019B019C,0393F39C,019B019C,0393F36E
019C019D,03952B3E,019C019D,03952B12
019D019E,0396649C,019D019E,03966470
019E019F,03979C38,019E019F,03979C08
019F01A0,0398D59E,019F01A0,0398D572
01A001A1,039A0D38,01A001A1,039A0D0A
01A101A2,039B4696,01A101A2,039B466C
01A201A3,039C7E38,01A201A3,039C7E0A
01A301A4,039DB79C,01A301A4,039DB772
01A401A5,039EEF2E,01A401A5,039EEF03
01A501A6,03A0289A,01A501A6,03A0286E
01A601A7,03A16034,01A601A7,03A16006
01A701A8,03A29993,01A701A8,03A29964
01A801A9,03A3D134,01A801A9,03A3D108
01A901AA,03A50A9D,01A901AA,03A50A70
01AA01AB,03A6422F,01AA01AB,03A64204
01AB01AC,03A77B97,01AB01AC,03A77B69
01AC01AD,03A8B334,01AC01AD,03A8B306
01AD01AE,03A9EC94,01AD01AE,03A9EC67
01AE01AF,03AB2434,01AE01AF,03AB2406
01AF01B0,03AC5D94,01AF01B0,03AC5D6A
01B001B1,03AD952E,01B001B1,03AD9502
01B101B2,03AECE92,01B101B2,03AECE66
01B201B3,03B00631,01B201B3,03B00603
01B301B4,03B13F92,01B301B4,03B13F62
01B401B4,03B27726,01B401B5,03B278C0
01B501B6,03B3B09C,01B501B6,03B3B06E
01B601B7,03B4E82B,01B601B7,03B4E802
01B701B8,03B62193,01B701B8,03B62164
01B801B9,03B75931,01B801B9,03B75904
01B901BA,03B8928E,01B901BA,03B8925E
01BA01BB,03B9CA2A,01BA01BB,03B9CA01
01BB01BC,03BB0390,01BB01BC,03BB0362
01BC01BD,03BC3B2E,01BC01BD,03BC3B03
01BD01BE,03BD7490,01BD01BE,03BD7463
01BE01BF,03BEAC2A,01BE01BF,03BEAC01
01BF01C0,03BFE594,01BF01C0,03BFE568
01C001C0,03C11D28,01C001C1,03C11EC0
01C101C2,03C25694,01C101C2,03C25666
01C201C3,03C38E2B,01C201C3,03C38E01
01C301C4,03C4C791,01C301C4,03C4C75E
01C401C5,03C5FF28,01C401C5,03C5FF01
01C501C6,03C73892,01C501C6,03C73862
01C601C6,03C87028,01C601C7,03C871C0
01C701C8,03C9A988,01C701C8,03C9A95C
01C801C9,03CAE12A,01C801C9,03CAE101
01C901CA,03CC1A8A,01C901CA,03CC1A5C
01CA01CA,03CD5227,01CA01CB,03CD53C0
01CB01CC,03CE8B8E,01CB01CC,03CE8B5E
01CC01CC,03CFC328,01CC01CD,03CFC4C0
01CD01CE,03D0FC8E,01CD01CE,03D0FC5E
01CE01CE,03D23428,01CE01CF,03D235C0
01CF01D0,03D36D8C,01CF01D0,03D36D5D
01D001D0,03D4A523,01D001D1,03D4A6BE
01D101D2,03D5DE8C,01D101D2,03D5DE5E
01D201D2,03D71620,01D201D3,03D717BA
01D301D4,03D84F8B,01D301D4,03D84F5B
01D401D4,03D98726,01D401D5,03D988C0
01D501D6,03DAC08C,01D501D6,03DAC05C
01D601D6,03DBF820,01D601D7,03DBF9BB
01D701D8,03DD318A,01D701D8,03DD3158
01D801D8,03DE6920,01D801D9,03DE6ABC
01D901DA,03DFA28A,01D901DA,03DFA25A
01DA01DA,03E0DA20,01DA01DB,03E0DBBE
01DB01DC,03E21388,01DB01DC,03E21358
01DC01DC,03E34B1A,01DC01DD,03E34CB4
01DD01DE,03E4848C,01DD01DE,03E4845A
01DE01DE,03E5BC22,01DE01DF,03E5BDBD
01DF01E0,03E6F58A,01DF01E0,03E6F558
01E001E0,03E82D1E,01E001E1,03E82EBA
01E101E2,03E9668A,01E101E2,03E96656
01E201E2,03EA9E1A,01E201E3,03EA9FB6
01E301E4,03EBD781,01E301E4,03EBD74E
01E401E4,03ED0F20,01E401E5,03ED10BE
01E501E6,03EE4882,01E501E6,03EE4851
01E601E6,03EF8018,01E601E7,03EF81B6
01E701E8,03F0B980,01E701E8,03F0B94D
01E801E8,03F1F11C,01E801E9,03F1F2B8
01E901EA,03F32A7E,01E901EA,03F32A4C
01EA01EA,03F46220,01EA01EB,03F463BA
01EB01EC,03F59B80,01EB01EC,03F59B4C
01EC01EC,03F6D31C,01EC01ED,03F6D4B4
01ED01EE,03F80C82,01ED01EE,03F80C52
01EE01EE,03F9441C,01EE01EF,03F945B6
01EF01F0,03FA7D7E,01EF01F0,03FA7D4C
01F001F0,03FBB519,01F001F1,03FBB6B6
01F101F2,03FCEE7C,01F101F2,03FCEE4C
01F201F2,03FE261E,01F201F3,03FE27B8
01F301F4,03FF5F82,01F301F4,03FF5F53
01F401F4,04009716,01F401F5,040098B2
01F501F6,0401D07E,01F501F6,0401D04B
01F601F6,0403081A,01F601F7,040309B4
01F701F8,04044187,01F701F8,04044152
01F801F8,04057914,01F801F9,04057AAE
01F901FA,0406B280,01F901FA,0406B24C
01FA01FA,0407EA1B,01FA01FB,0407EBB6
01FB01FC,0409237B,01FB01FC,04092346
01FC01FC,040A5B16,01FC01FD,040A5CAE
01FD01FE,040B947C,01FD01FE,040B944B
01FE01FE,040CCC14,01FE01FF,040CCDAC
01FF0200,040E057C,01FF0200,040E054A
02000200,040F3D1A,02000201,040F3EB2
02010202,0410767C,02010202,04107648
02020202,0411AE18,02020203,0411AFAE
02030204,0412E786,02030204,0412E752
02040204,04141F16,02040205,041420B0
02050206,0415587C,02050206,04155848
02060206,04169014,02060207,041691AE
02070208,0417C980,02070208,0417C94C
02080208,04190112,02080209,041902AE
0209020A,041A3A7E,0209020A,041A3A4A
020A020A,041B7214,020A020B,041B73B0
020B020C,041CAB76,020B020C,041CAB44
020C020C,041DE314,020C020D,041DE4AE
020D020E,041F1C76,020D020E,041F1C46
020E020E,0420540E,020E020F,042055A6
020F0210,04218D7B,020F0210,04218D4A
02100210,0422C511,02100211,0422C6AC
02110212,0423FE78,02110212,0423FE44
02120212,0425360A,02120213,042537A4
02130214,04266F7A,02130214,04266F46
02140214,0427A70C,02140215,0427A8A8
02150216,0428E07C,02150216,0428E046
02160216,042A1813,02160217,042A19AC
02170218,042B5178,02170218,042B5142
02180218,042C890D,02180219,042C8AAE
0219021A,042DC27C,0219021A,042DC246
021A021A,042EFA03,021A021B,042EFB9E
021B021C,04303376,021B021C,04303340
021C021C,04316B0C,021C021D,04316CA8
021D021E,0432A46E,021D021E,0432A43A
021E021E,0433DC0A,021E021F,0433DDA4
021F0220,04351570,021F0220,0435153E
02200220,04364D0C,02200221,04364EA8
02210222,04378670,02210222,0437863E
02220222,0438BE0E,02220223,0438BFAA
02230224,0439F770,02230224,0439F73D
02240224,043B2F0E,02240225,043B30A6
02250226,043C686E,02250226,043C683D
02260226,043DA00A,02260227,043DA1A6
02270228,043ED962,02270228,043ED934
02280228,0440110B,02280229,044012A4
0229022A,04414A6C,0229022A,04414A3A
022A022A,04428206,022A022B,0442839B
022B022C,0443BB6E,022B022C,0443BB3C
022C022C,0444F30D,022C022D,0444F4A8
022D022E,04462C6C,022D022E,04462C3A
022E022E,04476408,022E022F,0447659E
022F0230,04489D69,022F0230,04489D3A
02300230,0449D502,02300231,0449D69C
02310232,044B0E6A,02310232,044B0E3A
02320232,044C4605,02320233,044C479C
02330234,044D7F6A,02330234,044D7F39
02340234,044EB704,02340235,044EB89C
02350236,044FF06C,02350236,044FF03C
02360236,04512801,02360237,0451299A
02370238,04526166,02370238,04526134
02380238,04539902,02380239,04539A9A
0239023A,0454D26C,0239023A,0454D238
023A023B,04560BC0,023A023B,04560B98
023B023C,04574369,023B023C,04574334
023C023C,04587B02,023C023D,04587C9B
023D023E,0459B471,023D023E,0459B43E
023E023E,045AEC02,023E023F,045AED9C
023F0240,045C2562,023F0240,045C252E
02400241,045D5EC0,02400241,045D5E99
02410242,045E9665,02410242,045E9630
02420242,045FCE02,02420243,045FCF9A
02430244,0461075F,02430244,0461072C
02440244,04623F03,02440245,04624096
02450246,0463786A,02450246,04637836
02460246,0464B002,02460247,0464B192
02470248,0465E960,02470248,0465E931
02480248,04672103,02480249,04672296
0249024A,04685A62,0249024A,04685A2E
024A024B,046993C0,024A024B,04699390
024B024C,046ACB60,024B024C,046ACB2C
024C024D,046C04C0,024C024D,046C0492
024D024E,046D3C66,024D024E,046D3C32
024E024F,046E75C0,024E024F,046E759E
024F0250,046FAD5A,024F0250,046FAD2C
02500251,0470E6B6,02500251,0470E692
02510252,04721E5C,02510252,04721E2C
02520253,047357C0,02520253,04735792
02530254,04748F5A,02530254,04748F2B
02540255,0475C8BE,02540255,0475C896
02550256,0477005D,02550256,0477002C
02560257,047839BE,02560257,04783990
02570258,04797168,02570258,04797134
02580259,047AAAB4,02580259,047AAA8E
0259025A,047BE25A,0259025A,047BE228
025A025B,047D1BC0,025A025B,047D1B90
025B025C,047E5359,025B025C,047E532A
025C025D,047F8CBE,025C025D,047F8C87
025D025E,0480C454,025D025E,0480C428
025E025F,0481FDC0,025E025F,0481FD8E
025F0260,0483355B,025F0260,0483352C
02600261,04846EBE,02600261,04846E8A
02610262,0485A658,02610262,0485A627
02620263,0486DFBC,02620263,0486DF90
02630264,04881751,02630264,04881720
02640265,048950C0,02640265,0489509D
02650266,048A8854,02650266,048A8826
02660267,048BC1B7,02660267,048BC18C
02670268,048CF956,02670268,048CF929
02680269,048E32A4,02680269,048E3286
0269026A,048F6A4E,0269026A,048F6A20
026A026B,0490A3C0,026A026B,0490A38E
026B026C,0491DB50,026B026C,0491DB21
026C026D,049314B4,026C026D,04931481
026D026E,04944C56,026D026E,04944C26
026E026E,04958401,026E026F,0495858E
026F0270,0496BD56,026F0270,0496BD27
02700271,0497F6B4,02700271,0497F684
02710272,04992E4E,02710272,04992E20
02720273,049A67B0,02720273,049A6786
02730274,049B9F48,02730274,049B9F20
02740275,049CD8C0,02740275,049CD885
02750276,049E104A,02750276,049E101E
02760277,049F49B4,02760277,049F498A
02770278,04A08154,02770278,04A08122
02780279,04A1BAB4,02780279,04A1BA8C
0279027A,04A2F24C,0279027A,04A2F220
027A027B,04A42BB4,027A027B,04A42B8C
027B027C,04A56349,027B027C,04A5631F
027C027D,04A69CAC,027C027D,04A69C86
027D027E,04A7D455,027D027E,04A7D422
027E027F,04A90DB4,027E027F,04A90D86
027F0280,04AA454A,027F0280,04AA451E
