Timestamp data collected on 2025-06-30 16:27:44
00870089,6DFDDD70,00870087,6DFB6C4A
0088008A,6E004E6A,00880088,6DFDDD54
0089008B,6E02BF62,00890089,6E004E4E
008A008C,6E053064,008A008A,6E02BF46
008B008D,6E07A15F,008B008B,6E053048
008C008E,6E0A1262,008C008C,6E07A142
008D008F,6E0C8366,008D008D,6E0A1246
008E0090,6E0EF464,008E008E,6E0C8349
008F0091,6E116560,008F008F,6E0EF446
00900092,6E13D660,00900090,6E116544
00910093,6E164766,00910091,6E13D642
00920094,6E18B85E,00920092,6E16474A
00930095,6E1B2958,00930093,6E18B842
00940096,6E1D9A5C,00940094,6E1B293C
00950097,6E200B60,00950095,6E1D9A40
00960098,6E227C5A,00960096,6E200B42
00970099,6E24ED4E,00970097,6E227C3E
0098009A,6E275E56,00980098,6E24ED34
0099009B,6E29CF58,00990099,6E275E3A
009A009C,6E2C4053,009A009A,6E29CF3C
009B009D,6E2EB14E,009B009B,6E2C4038
009C009E,6E31224C,009C009C,6E2EB134
009D009F,6E339354,009D009D,6E312232
009E00A0,6E360452,009E009E,6E339337
009F00A1,6E387552,009F009F,6E360436
00A000A2,6E3AE650,00A000A0,6E387536
00A100A3,6E3D574B,00A100A1,6E3AE636
00A200A4,6E3FC851,00A200A2,6E3D572E
00A300A5,6E42394E,00A300A3,6E3FC836
00A400A6,6E44AA4E,00A400A4,6E423934
00A500A7,6E471B48,00A500A5,6E44AA34
00A600A8,6E498C50,00A600A6,6E471B2A
00A700A9,6E4BFD4A,00A700A7,6E498C34
00A800AA,6E4E6E48,00A800A8,6E4BFD31
00A900AB,6E50DF48,00A900A9,6E4E6E2C
00AA00AC,6E535048,00AA00AA,6E50DF2A
00AB00AD,6E55C148,00AB00AB,6E53502C
00AC00AE,6E583244,00AC00AC,6E55C12A
00AD00AF,6E5AA33F,00AD00AD,6E583228
00AE00B0,6E5D1442,00AE00AE,6E5AA322
00AF00B1,6E5F8546,00AF00AF,6E5D1426
00B000B2,6E61F63E,00B000B0,6E5F852A
00B100B3,6E64673E,00B100B1,6E61F621
00B200B4,6E66D846,00B200B2,6E646722
00B300B5,6E694942,00B300B3,6E66D828
00B400B6,6E6BBA3F,00B400B4,6E694926
00B500B7,6E6E2B3D,00B500B5,6E6BBA22
00B600B8,6E709C3E,00B600B6,6E6E2B20
00B700B9,6E730D40,00B700B7,6E709C22
00B800BA,6E757E40,00B800B8,6E730D23
00B900BB,6E77EF34,00B900B9,6E757E22
00BA00BC,6E7A6034,00BA00BA,6E77EF1A
00BB00BD,6E7CD13D,00BB00BB,6E7A601A
00BC00BE,6E7F4232,00BC00BC,6E7CD120
00BD00BF,6E81B32B,00BD00BD,6E7F4218
00BE00C0,6E84243C,00BE00BE,6E81B312
00BF00C1,6E86953E,00BF00BF,6E842420
00C000C2,6E89062C,00C000C0,6E869522
00C100C3,6E8B772C,00C100C1,6E890614
00C200C4,6E8DE834,00C200C2,6E8B7714
00C300C5,6E905932,00C300C3,6E8DE819
00C400C6,6E92CA2B,00C400C4,6E905918
00C500C7,6E953B2F,00C500C5,6E92CA13
00C600C8,6E97AC31,00C600C6,6E953B16
00C700C9,6E9A1D2B,00C700C7,6E97AC16
00C800CA,6E9C8E2E,00C800C8,6E9A1D12
00C900CB,6E9EFF2C,00C900C9,6E9C8E16
00CA00CC,6EA1702A,00CA00CA,6E9EFF14
00CB00CD,6EA3E12A,00CB00CB,6EA17010
00CC00CE,6EA65228,00CC00CC,6EA3E111
00CD00CF,6EA8C32A,00CD00CD,6EA6520E
00CE00D0,6EAB3426,00CE00CE,6EA8C312
00CF00D1,6EADA52A,00CF00CF,6EAB340E
00D000D2,6EB01628,00D000D0,6EADA511
00D100D3,6EB28720,00D100D1,6EB0160E
00D200D4,6EB4F820,00D200D2,6EB28708
00D300D5,6EB7692A,00D300D3,6EB4F80A
00D400D6,6EB9DA23,00D400D4,6EB76910
00D500D7,6EBC4B1E,00D500D5,6EB9DA0C
00D600D8,6EBEBC20,00D600D6,6EBC4B05
00D700D9,6EC12D28,00D700D7,6EBEBC08
00D800DA,6EC39E20,00D800D8,6EC12D0F
00D900DB,6EC60F1C,00D900D9,6EC39E08
00DA00DC,6EC88020,00DA00DA,6EC60F03
00DB00DD,6ECAF120,00DB00DB,6EC88008
00DC00DE,6ECD621E,00DC00DC,6ECAF10A
00DD00DF,6ECFD31E,00DD00DD,6ECD6206
00DE00E0,6ED24419,00DE00DE,6ECFD306
00DF00E1,6ED4B51C,00DF00DF,6ED24403
00E000E2,6ED72622,00E000E0,6ED4B503
00E100E3,6ED99714,00E100E1,6ED7260A
00E200E3,6EDC0812,00E200E2,6ED99701
00E300E5,6EDE7914,00E300E3,6EDC09C0
00E400E6,6EE0EA1F,00E400E4,6EDE7902
00E500E7,6EE35B15,00E500E5,6EE0EA06
00E600E7,6EE5CC12,00E600E6,6EE35B02
00E700E9,6EE83D14,00E700E7,6EE5CDC0
00E800EA,6EEAAE14,00E800E8,6EE83D02
00E900EA,6EED1F14,00E900E9,6EEAAE01
00EA00EB,6EEF9012,00EA00EA,6EED20C0
00EB00EC,6EF2010E,00EB00EB,6EEF91C0
00EC00EE,6EF47214,00EC00EC,6EF202C0
00ED00EF,6EF6E314,00ED00ED,6EF47202
00EE00EF,6EF9540E,00EE00EE,6EF6E301
00EF00F0,6EFBC50E,00EF00EF,6EF955BE
00F000F1,6EFE3612,00F000F0,6EFBC6BE
00F100F2,6F00A712,00F100F1,6EFE37C0
00F200F3,6F031812,00F200F2,6F00A8C0
00F300F4,6F058912,00F300F3,6F0319C0
00F400F5,6F07FA14,00F400F4,6F058AC0
00F500F6,6F0A6B12,00F500F5,6F07FBC0
00F600F7,6F0CDC06,00F600F6,6F0A6CC0
00F700F8,6F0F4D04,00F700F7,6F0CDDB4
00F800F9,6F11BE0C,00F800F8,6F0F4EB4
00F900FA,6F142F0A,00F900F9,6F11BFC0
00FA00FB,6F16A008,00FA00FA,6F1430BC
00FB00FC,6F191105,00FB00FB,6F16A1BA
00FC00FD,6F1B8208,00FC00FC,6F1912B4
00FD00FE,6F1DF306,00FD00FD,6F1B83B7
00FE00FF,6F206406,00FE00FE,6F1DF4B6
00FF0100,6F22D509,00FF00FF,6F2065B4
01000101,6F254607,01000100,6F22D6BB
01010102,6F27B704,01010101,6F2547B7
01020103,6F2A2802,01020102,6F27B8B7
01030104,6F2C9903,01030103,6F2A29B0
01040105,6F2F0A04,01040104,6F2C9AB4
01050106,6F317B03,01050105,6F2F0BB4
01060107,6F33EC03,01060106,6F317CB2
01070108,6F365D01,01070107,6F33EDB4
01080109,6F38CE03,01080108,6F365EAC
0109010A,6F3B3F01,01090109,6F38CFB4
010A010C,6F3DB1BC,010A010A,6F3B40B2
010B010C,6F402101,010B010B,6F3DB1A0
010C010D,6F429202,010C010C,6F4022B2
010D010E,6F450302,010D010D,6F4293AE
010E0110,6F4775C0,010E010E,6F4504AE
010F0111,6F49E6BE,010F010F,6F4775A6
01100111,6F4C5602,01100110,6F49E6A2
01110112,6F4EC702,01110111,6F4C57B4
01120114,6F5139BE,01120112,6F4EC8B1
01130115,6F53AABE,01130113,6F5139A1
